Month,Category,Item,Option,Quantity,Price Per Unit,Total Profit
March,Laboratory,Medical Packages,Lipid Profile,3.00,1000.00,3000.00
March,Medicines,Medicine,Dydrogesterone (Duphaston),34.00,85.00,2890.00
March,Ultrasound,General Ultrasound,Thyroid Ultrasound,2.00,1400.00,2800.00
March,Laboratory,Hematology,Platelet Count (PC),11.00,250.00,2750.00
March,Laboratory,Clinical Chemistry,HBsAg Screening,6.00,450.00,2700.00
March,Medicines,Medicine,Multivitamins (Obtrene),213.00,12.00,2556.00
March,Medicines,Sodermix,N/A,1.00,2500.00,2500.00
March,Laboratory,Miscellaneous,PSA  (Prostate),1.00,2418.00,2418.00
March,Ultrasound,General Ultrasound,Soft Tissue Ultrasound (ex. Axillary),2.00,1200.00,2400.00
March,Medicines,Medicine,Ferrous + FA (Feofer),196.00,12.00,2352.00
March,Services,Intrauterine Device Removal,N/A,1.00,2300.00,2300.00
March,Laboratory,Miscellaneous,HbA1c,4.00,550.00,2200.00
March,Medicines,Miscellaneous,Pregnancy Test,18.00,120.00,2160.00
March,Ultrasound,Obstetrics and Gynecology,Cervical Length,3.00,700.00,2100.00
March,Ultrasound,Obstetrics and Gynecology,Doppler,2.00,1000.00,2000.00
March,Ultrasound,Obstetrics and Gynecology,BPS + Biometry w- Cervical Length,1.00,2000.00,2000.00
March,Medicines,Medicine,Methylergometrine (Ergojen),78.00,25.00,1950.00
March,Services,Implant Removal,N/A,1.00,1800.00,1800.00
March,Medicines,Family Planning,ALTHEA,3.00,600.00,1800.00
March,Laboratory,Miscellaneous,Wet Smear,3.00,600.00,1800.00
March,Laboratory,Microbiology,Gram Stain,3.00,600.00,1800.00
March,Pediatric Medicines,Salinase Max,N/A,7.00,250.00,1750.00
March,Services,Intramuscular Injection,N/A,2.00,800.00,1600.00
March,Ultrasound,General Ultrasound,Whole Abdomen (to r-o acute appendicitis),1.00,1561.00,1561.00
March,Vaccines,BCG Vaccine,N/A,1.00,1500.00,1500.00
March,Medicines,Medicine,Cefuroxime Axetil (Aerox),42.00,35.00,1470.00
March,Laboratory,Miscellaneous,NS1 Antigen,1.00,1400.00,1400.00
March,Medicines,Miscellaneous,Feminine Wash (Femcare),6.00,200.00,1200.00
March,Medicines,Medicine,Evening Primrose (PRIMAVIX),33.00,35.00,1155.00
March,Ultrasound,General Ultrasound,Lower Abdomen (KUB plus Prostate OR Pelvic Structure),1.00,1150.00,1150.00
March,Laboratory,Clinical Chemistry,HbA1c,2.00,550.00,1100.00
March,Pediatric Medicines,Cetirizine (Allerkid Drops),N/A,6.00,180.00,1080.00
March,Medicines,Medicine,Isoxsuprine Hcl (Duvaprine),42.00,25.00,1050.00
March,Pediatric Medicines,Azithromycin (Azythrex),N/A,2.00,500.00,1000.00
March,Ultrasound,General Ultrasound,Prostate Gland only,1.00,1000.00,1000.00
March,Ultrasound,Obstetrics and Gynecology,Follicle Monitoring,2.00,500.00,1000.00
March,Pediatric Medicines,Vivalyte,N/A,10.00,100.00,1000.00
March,Laboratory,Miscellaneous,Dengue Duo,1.00,920.00,920.00
March,Medicines,Medicine,Momalac,60.00,15.00,900.00
March,Pediatric Medicines,Cetirizine (Allerkid Syrup),N/A,3.00,300.00,900.00
March,Medicines,Miscellaneous,Drysheet - Underpad,17.00,50.00,850.00
March,Laboratory,Microbiology,Urine C-S,1.00,800.00,800.00
March,Medicines,Medicine,Folic Acid (Folitrene),50.00,15.00,750.00
March,Laboratory,Clinical Chemistry,SGPT,3.00,250.00,750.00
March,Laboratory,Clinical Chemistry,TSH,1.00,650.00,650.00
March,Pediatric Medicines,Nutri 10 plus drops,N/A,3.00,200.00,600.00
March,Laboratory,Miscellaneous,KOH,1.00,600.00,600.00
March,Pediatric Medicines,Nasatapp Syrup,N/A,4.00,150.00,600.00
March,Pediatric Medicines,Nasatapp Drops,N/A,4.00,150.00,600.00
March,Laboratory,Miscellaneous,Serum Preg Test,2.00,300.00,600.00
March,Laboratory,Clinical Chemistry,Uric Acid,2.00,300.00,600.00
March,Laboratory,Clinical Chemistry,Creatinine,2.00,300.00,600.00
March,Medicines,Medicine,Trufit,21.00,25.00,525.00
March,Medicines,Medicine,Isoxsuprene Hcl (Duvatrene),21.00,25.00,525.00
March,Laboratory,Clinical Chemistry,SGOT,2.00,250.00,500.00
March,Pediatric Medicines,Zinc Oxide and Calamine (Calmoseptine),N/A,10.00,50.00,500.00
March,Services,Clinical Fee,N/A,3.00,150.00,450.00
March,Pediatric Medicines,Salbutamol,N/A,15.00,30.00,450.00
March,Laboratory,Clinical Chemistry,T4,1.00,450.00,450.00
March,Laboratory,Clinical Chemistry,T3,1.00,450.00,450.00
March,Medicines,Medicine,Mommalac,28.00,15.00,420.00
March,Pediatric Medicines,Ceelin Syrup 120ml,N/A,2.00,200.00,400.00
March,Pediatric Medicines,Ceelin Drops 30ml,N/A,2.00,170.00,340.00
March,Pediatric Medicines,Paracetamol Drops (Biogesic Drops),N/A,3.00,100.00,300.00
March,Laboratory,Clinical Chemistry,Blood Urea Nitrogen (BUN),1.00,300.00,300.00
March,Laboratory,Clinical Microscopy,Fecalysis,1.00,250.00,250.00
March,Pediatric Medicines,Appebon,N/A,1.00,200.00,200.00
March,Medicines,Miscellaneous,OGTT Juice,1.00,200.00,200.00
March,Pediatric Medicines,Vitamin C and Zinc Ceelin Plus Syrup,N/A,1.00,180.00,180.00
March,Pediatric Medicines,Paracetamol Drops (Tempra),N/A,1.00,150.00,150.00
March,Pediatric Medicines,Zinc Sulfate (E-Zinc) 15ml,N/A,1.00,120.00,120.00
March,Medicines,Medicine,Multivitamins (Medcare OB),4.00,12.00,48.00
March,Pediatric Medicines,Zinc Oxide and Calamine (Saphclamine),N/A,1.00,40.00,40.00
April,Services,Obstetrics and Gynecology Consultation,N/A,670.00,597.89,400586.00
April,Services,Pediatrics Consultation,N/A,523.00,598.24,312879.00
April,Ultrasound,Obstetrics and Gynecology,Transvaginal,203.00,1196.71,242932.00
April,Vaccines,Flu Vaccine,N/A,62.00,1996.77,123800.00
April,Ultrasound,Obstetrics and Gynecology,Congenital Anomaly Scan,50.00,2450.00,122500.00
April,Ultrasound,Obstetrics and Gynecology,Pelvic,67.00,1196.42,80160.00
April,Ultrasound,Obstetrics and Gynecology,BPS + Biometry,59.00,1291.19,76180.00
April,Vaccines,"6 IN 1 ""Hexaxim"" Vaccine",N/A,18.00,4000.00,72000.00
April,Vaccines,Rotateq Vaccine,N/A,27.00,2500.00,67500.00
April,Vaccines,Rotarix Vaccine,N/A,20.00,2975.00,59500.00
April,Vaccines,"PCV ""Pneumoccoccal"" Vaccine",N/A,12.00,4000.00,48000.00
April,Laboratory,Medical Packages,Buntis Package B,16.00,2500.00,40000.00
April,Vaccines,Japanese Encephalitis Vaccine,N/A,9.00,4000.00,36000.00
April,Laboratory,Medical Packages,Thyroid Function Test,20.00,1800.00,36000.00
April,Others,Non-Stress Test,N/A,35.00,1000.00,35000.00
April,Medicines,Medicine,Heragest,481.00,65.00,31265.00
April,Laboratory,Clinical Chemistry,75 Gram OGTT,24.00,1200.00,28800.00
April,Services,Endocrinologist Consultation,N/A,37.00,774.51,28657.00
April,Ultrasound,Obstetrics and Gynecology,5D Ultrasound,9.00,3000.00,27000.00
April,Ultrasound,Obstetrics and Gynecology,Biometry,22.00,1200.00,26400.00
April,Services,REI,N/A,31.00,794.84,24640.00
April,Medicines,Medicine,Multivitamins (Mosvit Elite),1285.00,18.00,23130.00
April,Medical Certificate,Swab Test,N/A,18.00,1200.00,21600.00
April,Vaccines,TD Vaccine,N/A,25.00,860.00,21500.00
April,Vaccines,Tetanus Toxoid Vaccine,N/A,37.00,500.00,18500.00
April,Surgeon,Surgery Procedure (4500),N/A,4.00,4500.00,18000.00
April,Laboratory,Microbiology,Papsmear,22.00,800.00,17600.00
April,Medicines,Medicine,Calcium Carbonate + D3 (Calcidin),1413.00,12.00,16956.00
April,Ultrasound,General Ultrasound,Whole Abdomen,10.00,1669.60,16696.00
April,Services,Surgery Consultation,N/A,29.00,538.65,15620.96
April,Ultrasound,General Ultrasound,Breast-Chest Ultrasound (Bilateral),9.00,1675.12,15076.04
April,Ultrasound,Obstetrics and Gynecology,3D-4D Ultrasound,6.00,2500.00,15000.00
April,Medicines,Medicine,Medroxyprogesterone (DB-10),160.00,80.00,12800.00
April,Services,Urology Consultation,N/A,16.00,791.06,12657.00
April,Vaccines,MMRV Vaccine,N/A,2.00,6250.00,12500.00
April,Surgeon,Surgery Procedure (11500),N/A,1.00,11500.00,11500.00
April,Medical Certificate,Medical Certificate,N/A,56.00,200.00,11200.00
April,Medicines,Family Planning,DMPA (Depotrust),22.00,495.45,10900.00
April,Surgeon,Surgery Procedure (10500),N/A,1.00,10500.00,10500.00
April,Vaccines,GARDASIL 9 Vaccine,N/A,1.00,10000.00,10000.00
April,Medicines,Medicine,Ferrous + Folic Acid (Prenat),779.00,12.00,9348.00
April,Laboratory,Clinical Chemistry,HIV Screening,14.00,650.00,9100.00
April,Services,Laser Circumcision,N/A,2.00,4500.00,9000.00
April,Laboratory,Hematology,Complete Blood Count (CBC),22.00,400.00,8800.00
April,Surgeon,Surgery Procedure (8500),N/A,1.00,8500.00,8500.00
April,Medicines,Medicine,Gestron,126.00,65.00,8190.00
April,Services,Cardiology Consultation,N/A,11.00,701.27,7714.00
April,Vaccines,MMR Vaccine,N/A,3.00,2500.00,7500.00
April,Laboratory,Clinical Chemistry,FBS,11.00,650.00,7150.00
April,Vaccines,Varicella Vaccine,N/A,2.00,3500.00,7000.00
April,Ultrasound,Obstetrics and Gynecology,Transrectal,6.00,1164.33,6986.00
April,Laboratory,Medical Packages,Buntis Package A,4.00,1700.00,6800.00
April,Ultrasound,General Ultrasound,Scrotal Ultrasound (with Doppler),4.00,1700.00,6800.00
April,Ultrasound,Obstetrics and Gynecology,TVS w Follicle Monitoring,4.00,1700.00,6800.00
April,Services,Ear Piercing,N/A,7.00,928.57,6500.00
April,Ultrasound,Obstetrics and Gynecology,Cervical Length,9.00,700.00,6300.00
April,Laboratory,Medical Packages,Lipid Profile,6.00,970.17,5821.00
April,Medicines,Medicine,Evening Primrose (Primdin),166.00,35.00,5810.00
April,Medicines,Medicine,Clindamycin Phosphate (Vagclr-M),21.00,250.00,5250.00
April,Vaccines,Hepatitis A Vaccine,N/A,2.00,2500.00,5000.00
April,Vaccines,Inactivated Polio Vaccine (IPV),N/A,5.00,1000.00,5000.00
April,Surgeon,Surgery Procedure (2500),N/A,2.00,2500.00,5000.00
April,Laboratory,Clinical Chemistry,VDRL-RPR,11.00,450.00,4950.00
April,Laboratory,Clinical Chemistry,HBsAg Screening,11.00,450.00,4950.00
April,Medicines,Medicine,Folic Acid (Quatrofol),323.00,15.00,4845.00
April,Laboratory,Microbiology,Urine C-S,6.00,800.00,4800.00
April,Medicines,Medicine,Mommalac,320.00,14.56,4660.00
April,Medicines,Medicine,Calcium (Calsure Boncare),380.00,12.00,4560.00
April,Laboratory,Clinical Microscopy,Urinalysis,22.00,200.00,4400.00
April,Laboratory,Hematology,Platelet Count (PC),17.00,250.00,4250.00
April,Ultrasound,General Ultrasound,Kidneys Ureters and Bladder (KUB),3.00,1400.00,4200.00
April,Vaccines,Meningococcal Vaccine,N/A,1.00,4000.00,4000.00
April,Services,Implant Insertion,N/A,1.00,4000.00,4000.00
April,Services,Intramuscular Injection,N/A,5.00,800.00,4000.00
April,Ultrasound,General Ultrasound,Inguinoscrotal Ultrasound (with doppler),2.00,1900.00,3800.00
April,Laboratory,Hematology,ABO RH Typing,12.00,300.00,3600.00
April,Medicines,Medicine,Vitamin C + Zinc (Pearly-C),270.00,12.00,3240.00
April,Medicines,Medicine,Mupirocin Ointment (Mupiderm),12.00,250.00,3000.00
April,Medicines,Medicine,Evening Primrose (PRIMAVIX),83.00,35.00,2905.00
April,Medicines,Miscellaneous,Pregnancy Test,24.00,120.00,2880.00
April,Medical Certificate,Cardiology Clearance,N/A,1.00,2800.00,2800.00
April,Laboratory,Miscellaneous,HbA1c,5.00,550.00,2750.00
April,Services,Regular Circumcision,N/A,1.00,2500.00,2500.00
April,Laboratory,Clinical Chemistry,Creatinine,8.00,300.00,2400.00
April,Ultrasound,Obstetrics and Gynecology,Placental Doppler Studies + BiometryPelvic,1.00,2200.00,2200.00
April,Laboratory,Clinical Chemistry,HbA1c,4.00,550.00,2200.00
April,Ultrasound,General Ultrasound,Cranial Ultrasound (PEDIA),1.00,2200.00,2200.00
April,Medicines,Medicine,Isoxsuprine Hcl (Duvaprine),87.00,25.00,2175.00
April,Ultrasound,Obstetrics and Gynecology,Placental Localization,3.00,700.00,2100.00
April,Ultrasound,General Ultrasound,Whole Abdomen (to r-o acute appendicitis),1.00,1900.00,1900.00
April,Medicines,Medicine,Isoxsuprene Hcl (Duvatrene),75.00,25.00,1875.00
April,Laboratory,Clinical Chemistry,SGPT,7.00,250.00,1750.00
April,Medicines,Medicine,Dydrogesterone (Duphaston),20.00,85.00,1700.00
April,Medicines,Medicine,Trufit,62.00,25.00,1550.00
April,Medicines,Medicine,Ferrous + FA (Feofer),128.00,12.00,1536.00
April,Vaccines,Hepatitis B Vaccine,N/A,1.00,1500.00,1500.00
April,Services,Implant Removal,N/A,1.00,1500.00,1500.00
April,Vaccines,PPD Test,N/A,3.00,500.00,1500.00
April,Ultrasound,General Ultrasound,Hepatobiliary Tree (Liver Spleen Bile Ducts Gallbl,1.00,1400.00,1400.00
April,Ultrasound,Obstetrics and Gynecology,Cervical Length,2.00,700.00,1400.00
April,Medicines,Medicine,Cefuroxime Axetil (Aerox),38.00,35.00,1330.00
April,Laboratory,Miscellaneous,Quantitative Beta-Hcg,1.00,1300.00,1300.00
April,Medicines,Medicine,Dexamethasone Sodium Phosphate (Mohsidex),2.00,625.00,1250.00
April,Laboratory,Microbiology,Gram Stain,2.00,600.00,1200.00
April,Medicines,Family Planning,FAYE,2.00,600.00,1200.00
April,Medicines,Medicine,Ferrous Fumarate + B2+B12+ Folic Acid (Hematrene),95.00,12.00,1140.00
April,Ultrasound,Obstetrics and Gynecology,Doppler,1.00,1000.00,1000.00
April,Medicines,Medicine,Cefurox,28.00,35.00,980.00
April,Medicines,Miscellaneous,Feminine Wash (Femcare),4.00,237.50,950.00
April,Laboratory,Clinical Chemistry,Uric Acid,3.00,300.00,900.00
April,Laboratory,Clinical Chemistry,Blood Urea Nitrogen (BUN),3.00,300.00,900.00
April,Medicines,Miscellaneous,Tuli After Care Package,1.00,850.00,850.00
April,Laboratory,Clinical Chemistry,SGOT,3.00,250.00,750.00
April,Laboratory,Clinical Chemistry,Potassium,2.00,350.00,700.00
April,Laboratory,Clinical Chemistry,Sodium,2.00,350.00,700.00
April,Medicines,Medicine,Methyldopa,34.00,20.00,680.00
April,Laboratory,Clinical Chemistry,TSH,1.00,650.00,650.00
April,Medicines,Family Planning,ALTHEA,1.00,600.00,600.00
April,Laboratory,Miscellaneous,Wet Smear,1.00,600.00,600.00
April,Medicines,Miscellaneous,Drysheet - Underpad,11.00,50.00,550.00
April,Ultrasound,Obstetrics and Gynecology,Follicle Monitoring,1.00,500.00,500.00
April,Pediatric Medicines,Salinase Nebule,N/A,1.00,500.00,500.00
April,Pediatric Medicines,"Salinase Max ""Nasal Spray Drops""",N/A,2.00,250.00,500.00
April,Services,Skin Test,N/A,1.00,500.00,500.00
April,Others,Administration Fee,N/A,2.00,250.00,500.00
April,Pediatric Medicines,Azithromycin (Azythrex),N/A,1.00,500.00,500.00
April,Services,Clinical Fee,N/A,3.00,150.00,450.00
April,Medicines,Medicine,Methylergometrine (Ergojen),15.00,25.00,375.00
April,Pediatric Medicines,Cetirizine (Allerkid Syrup),N/A,1.00,300.00,300.00
April,Pediatric Medicines,Cetirizine (Temprazine),N/A,1.00,250.00,250.00
April,Medicines,Medicine,Metformin,15.00,15.00,225.00
April,Pediatric Medicines,Nutri 10 plus drops,N/A,1.00,200.00,200.00
April,Medicines,Miscellaneous,OGTT Juice,1.00,200.00,200.00
April,Pediatric Medicines,Paracetamol Drops (Tempra),N/A,1.00,150.00,150.00
April,Medicines,Medicine,Folic Acid (Folitrene),10.00,15.00,150.00
April,Medicines,Miscellaneous,Speculum,1.00,50.00,50.00
April,Pediatric Medicines,Zinc Oxide and Calamine (Calmoseptine),N/A,1.00,50.00,50.00
April,Medicines,Miscellaneous,Urine Container,2.00,10.00,20.00
April,Medicines,Miscellaneous,Wee bag,1.00,15.00,15.00
May,Services,Obstetrics and Gynecology Consultation,N/A,700.00,599.39,419572.00
May,Services,Pediatrics Consultation,N/A,643.00,599.67,385586.00
May,Ultrasound,Obstetrics and Gynecology,Transvaginal,213.00,1197.99,255172.00
May,Vaccines,Flu Vaccine,N/A,76.00,1995.30,151643.00
May,Ultrasound,Obstetrics and Gynecology,Congenital Anomaly Scan,52.00,2491.40,129553.00
May,Vaccines,"PCV ""Pneumoccoccal"" Vaccine",N/A,26.00,4000.00,104000.00
May,Vaccines,Rotateq Vaccine,N/A,39.00,2500.00,97500.00
May,Vaccines,"6 IN 1 ""Hexaxim"" Vaccine",N/A,24.00,4000.00,96000.00
May,Ultrasound,Obstetrics and Gynecology,Pelvic,70.00,1196.94,83785.71
May,Ultrasound,Obstetrics and Gynecology,BPS + Biometry,53.00,1300.00,68900.00
May,Services,Laser Circumcision,N/A,15.00,4500.00,67500.00
May,Laboratory,Medical Packages,Buntis Package B,16.00,2500.00,40000.00
May,Vaccines,GARDASIL 9 Vaccine,N/A,4.00,9553.50,38214.00
May,Services,REI,N/A,46.00,800.00,36800.00
May,Laboratory,Medical Packages,Thyroid Function Test,20.00,1800.00,36000.00
May,Services,Endocrinologist Consultation,N/A,44.00,787.00,34628.00
May,Vaccines,Rotarix Vaccine,N/A,11.00,3000.00,33000.00
May,Laboratory,Microbiology,Papsmear,37.00,800.00,29600.00
May,Medicines,Medicine,Multivitamins (Mosvit Elite),1292.00,18.00,23256.00
May,Medical Certificate,Swab Test,N/A,18.00,1200.00,21600.00
May,Ultrasound,Obstetrics and Gynecology,5D Ultrasound,7.00,3000.00,21000.00
May,Vaccines,MMR Vaccine,N/A,8.00,2500.00,20000.00
May,Ultrasound,Obstetrics and Gynecology,Biometry,16.00,1186.63,18986.00
May,Vaccines,TD Vaccine,N/A,22.00,860.00,18920.00
May,Services,Urology Consultation,N/A,24.00,782.13,18771.00
May,Services,Surgery Consultation,N/A,31.00,553.71,17165.00
May,Medicines,Medicine,Calcium Carbonate + D3 (Calcidin),1379.00,12.00,16548.00
May,Vaccines,Japanese Encephalitis Vaccine,N/A,4.00,4000.00,16000.00
May,Medicines,Medicine,Ferrous + Folic Acid (Prenat),1314.00,12.00,15768.00
May,Medicines,Family Planning,DMPA (Depotrust),29.00,496.90,14410.00
May,Medicines,Miscellaneous,DERMLIN,7.00,2000.00,14000.00
May,Laboratory,Clinical Chemistry,HIV Screening,21.00,650.00,13650.00
May,Ultrasound,General Ultrasound,Breast - Chest Ultrasound (Bilateral),8.00,1700.00,13600.00
May,Vaccines,Tetanus Toxoid Vaccine,N/A,26.00,500.00,13000.00
May,Services,Regular Circumcision,N/A,5.00,2500.00,12500.00
May,Medical Certificate,Medical Certificate,N/A,62.00,200.00,12400.00
May,Medicines,Medicine,Gestron,184.00,65.00,11960.00
May,Laboratory,Medical Packages,Buntis Package A,7.00,1700.00,11900.00
May,Ultrasound,Surgery Procedure (11500),N/A,1.00,11500.00,11500.00
May,Services,Cardiology Consultation,N/A,14.00,789.79,11057.00
May,Vaccines,Varicella Vaccine,N/A,3.00,3500.00,10500.00
May,Ultrasound,Obstetrics and Gynecology,TVS w Follicle Monitoring,6.00,1700.00,10200.00
May,Laboratory,Clinical Chemistry,75 Gram OGTT,8.00,1200.00,9600.00
May,Ultrasound,Surgery Procedure (4500),N/A,2.00,4500.00,9000.00
May,Vaccines,Gardasil 4 Vaccine,N/A,2.00,4500.00,9000.00
May,Others,Non-Stress Test,N/A,9.00,1000.00,9000.00
May,Ultrasound,General Ultrasound,Whole Abdomen,5.00,1639.20,8196.00
May,Medicines,Medicine,Heragest,124.00,65.00,8060.00
May,Vaccines,Meningococcal Vaccine,N/A,2.00,4000.00,8000.00
May,Ultrasound,Surgery Procedure (2500),N/A,3.00,2500.00,7500.00
May,Ultrasound,Obstetrics and Gynecology,Transrectal,6.00,1164.33,6986.00
May,Laboratory,Hematology,Complete Blood Count (CBC),17.00,400.00,6800.00
May,Medicines,Medicine,Calcium (Calsure Boncare),558.00,12.00,6696.00
May,Laboratory,Clinical Chemistry,FBS,10.00,650.00,6500.00
May,Services,Ear Piercing,N/A,6.00,1000.00,6000.00
May,Laboratory,Miscellaneous,HbA1c,10.00,550.00,5500.00
May,Medicines,Medicine,Mupirocin Ointment (Mupiderm),21.00,250.00,5250.00
May,Ultrasound,General Ultrasound,Scrotal Ultrasound (with Doppler),3.00,1700.00,5100.00
May,Vaccines,Hepatitis A Vaccine,N/A,2.00,2500.00,5000.00
May,Vaccines,Inactivated Polio Vaccine (IPV),N/A,5.00,1000.00,5000.00
May,Ultrasound,Obstetrics and Gynecology,3D-4D Ultrasound,2.00,2500.00,5000.00
May,Laboratory,Microbiology,Urine C-S,6.00,800.00,4800.00
May,Services,Intrauterine Device Insertion,N/A,2.00,2300.00,4600.00
May,Laboratory,Hematology,ABO RH Typing,15.00,300.00,4500.00
May,Vaccines,PPD Test,N/A,9.00,500.00,4500.00
May,Services,Implant Insertion,N/A,1.00,4000.00,4000.00
May,Ultrasound,Surgery Procedure (2000),N/A,2.00,2000.00,4000.00
May,Ultrasound,General Ultrasound,Kidneys Ureters and Bladder (KUB),3.00,1316.67,3950.00
May,Laboratory,Medical Packages,Lipid Profile,4.00,955.25,3821.00
May,Medicines,Medicine,Evening Primrose (PRIMAVIX),107.00,35.00,3745.00
May,Laboratory,Clinical Microscopy,Urinalysis,18.00,200.00,3600.00
May,Medical Certificate,Cardiology Clearance,N/A,1.00,3500.00,3500.00
May,Vaccines,Hepatitis B Immune Globulin Vaccine,N/A,1.00,3500.00,3500.00
May,Ultrasound,General Ultrasound,Neck Ultrasound (Thyroid Submandibular and Lymph Nodes),2.00,1700.00,3400.00
May,Laboratory,Hematology,Platelet Count (PC),13.00,250.00,3250.00
May,Laboratory,Clinical Chemistry,HBsAg Screening,7.00,450.00,3150.00
May,Laboratory,Clinical Chemistry,VDRL-RPR,7.00,450.00,3150.00
May,Medicines,Medicine,Folic Acid (Quatrofol),208.00,15.00,3120.00
May,Medicines,Medicine,Medroxyprogesterone (DB-10),38.00,80.00,3040.00
May,Vaccines,Typhoid Vaccine,N/A,1.00,3000.00,3000.00
May,Medicines,Medicine,Cefuroxime Axetil (Aerox),84.00,35.00,2940.00
May,Medicines,Medicine,Vitamin C + Zinc (Pearly-C),222.00,12.00,2664.00
May,Ultrasound,General Ultrasound,Soft Tissue Ultrasound (ex. Axillary),2.00,1200.00,2400.00
May,Medicines,Family Planning,FAYE,4.00,600.00,2400.00
May,Medicines,Medicine,Clindamycin (Vagilin),14.00,170.00,2380.00
May,Services,IUD Removal,N/A,1.00,2300.00,2300.00
May,Ultrasound,Obstetrics and Gynecology,BPS with Doppler,1.00,2300.00,2300.00
May,Medicines,Family Planning,IUD Insertion - UD Removal,1.00,2300.00,2300.00
May,Services,Intramuscular Injection,N/A,3.00,704.67,2114.00
May,Ultrasound,Obstetrics and Gynecology,Cervical Length,3.00,700.00,2100.00
May,Pediatric Medicines,Amoxicillin (Himox),N/A,8.00,250.00,2000.00
May,Ultrasound,Obstetrics and Gynecology,BPS + Biometry w- Cervical Length,1.00,2000.00,2000.00
May,Medicines,Medicine,Evening Primrose (Primdin),56.00,35.00,1960.00
May,Medicines,Medicine,Isoxsuprine Hcl (Duvaprine),78.00,25.00,1950.00
May,Medicines,Miscellaneous,Pregnancy Test,16.00,120.00,1920.00
May,Services,Implant Removal,N/A,1.00,1800.00,1800.00
May,Laboratory,Clinical Chemistry,HbA1c,3.00,550.00,1650.00
May,Medicines,Medicine,Metindaz,14.00,106.79,1495.00
May,Ultrasound,General Ultrasound,Lower Abdomen (KUB plus Prostate OR Pelvic Structure),1.00,1400.00,1400.00
May,Ultrasound,General Ultrasound,Thyroid Ultrasound,1.00,1400.00,1400.00
May,Laboratory,Miscellaneous,KOH,2.00,600.00,1200.00
May,Laboratory,Microbiology,Gram Stain,2.00,600.00,1200.00
May,Laboratory,Miscellaneous,Wet Smear,2.00,600.00,1200.00
May,Ultrasound,General Ultrasound,Hepatobiliary Tree (Liver Spleen Bile Ducts Gallbl,1.00,1150.00,1150.00
May,Others,Administration Fee,N/A,4.00,250.00,1000.00
May,Ultrasound,Obstetrics and Gynecology,Doppler,1.00,1000.00,1000.00
May,Medicines,Miscellaneous,Feminine Wash (Femcare),5.00,200.00,1000.00
May,Medicines,Medicine,Cefuroxime Axetil (Xinatrene),14.00,65.00,910.00
May,Laboratory,Miscellaneous,Serum Preg Test,3.00,300.00,900.00
May,Laboratory,Clinical Chemistry,Creatinine,3.00,300.00,900.00
May,Laboratory,Clinical Chemistry,Blood Urea Nitrogen (BUN),3.00,300.00,900.00
May,Laboratory,Clinical Chemistry,Uric Acid,3.00,300.00,900.00
May,Medicines,Miscellaneous,Tuli After Care Package,1.00,850.00,850.00
May,Medicines,Medicine,Dydrogesterone (Duphaston),10.00,85.00,850.00
May,Laboratory,Clinical Chemistry,SGPT,4.00,212.50,850.00
May,Others,Catheter Change,N/A,1.00,821.00,821.00
May,Others,Catheter Change,N/A,1.00,821.00,821.00
May,Medicines,Medicine,Mommalac,53.00,15.00,795.00
May,Pediatric Medicines,Salinase Max,N/A,3.00,250.00,750.00
May,Medicines,Medicine,Dexamethasone Sodium Phosphate (Mohsidex),1.00,750.00,750.00
May,Medicines,Medicine,Trufit,29.00,25.00,725.00
May,Laboratory,Miscellaneous,Prolactin,1.00,700.00,700.00
May,Ultrasound,Obstetrics and Gynecology,Cervical Length,1.00,700.00,700.00
May,Medicines,Medicine,Isoxsuprene Hcl (Duvatrene),27.00,25.00,675.00
May,Laboratory,Clinical Chemistry,TSH,1.00,650.00,650.00
May,Laboratory,Clinical Chemistry,FT4,1.00,650.00,650.00
May,Medicines,Family Planning,ALTHEA,1.00,600.00,600.00
May,Laboratory,Clinical Chemistry,SGOT,3.00,200.00,600.00
May,Pediatric Medicines,Azithromycin (Azythrex),N/A,1.00,500.00,500.00
May,Laboratory,Clinical Chemistry,Magnesium,1.00,500.00,500.00
May,Pediatric Medicines,Paracetamol Drops (Tempra),N/A,3.00,150.00,450.00
May,Medicines,Medicine,Metformin,28.00,15.00,420.00
May,Laboratory,Clinical Microscopy,Fecal Occult Blood,1.00,400.00,400.00
May,Laboratory,Clinical Chemistry,Sodium,1.00,350.00,350.00
May,Laboratory,Clinical Chemistry,Potassium,1.00,350.00,350.00
May,Medicines,Miscellaneous,Drysheet - Underpad,7.00,50.00,350.00
May,Medicines,Medicine,Momalac,20.00,15.00,300.00
May,Services,Clinical Fee,N/A,2.00,150.00,300.00
May,Pediatric Medicines,Nasatapp Syrup,N/A,2.00,150.00,300.00
May,Laboratory,Clinical Microscopy,Fecalysis,1.00,250.00,250.00
May,Laboratory,Clinical Chemistry,Total Calcium,1.00,250.00,250.00
May,Medicines,Medicine,Methylergometrine (Ergojen),9.00,25.00,225.00
May,Pediatric Medicines,Vivalyte,N/A,2.00,100.00,200.00
May,Pediatric Medicines,Zinc Oxide and Calamine (Calmoseptine),N/A,3.00,50.00,150.00
May,Pediatric Medicines,Nasatapp Drops,N/A,1.00,150.00,150.00
May,Medicines,Miscellaneous,Urine Container,12.00,10.00,120.00
May,Medicines,Miscellaneous,Wee bag,7.00,15.00,105.00
May,Pediatric Medicines,Amoxicillin (Himox),N/A,2.00,50.00,100.00
